"","trips_clean$rider_status","trips_clean$day_of_week","trips_clean$ride_length"
"1","casual","Sunday",49.7970656550199
"2","member","Sunday",17.7402075224654
"3","casual","Monday",43.9354317100646
"4","member","Monday",15.1806972860222
"5","casual","Tuesday",39.374240385209
"6","member","Tuesday",14.8665594171182
"7","casual","Wednesday",39.9154715160718
"8","member","Wednesday",15.1460358597754
"9","casual","Thursday",41.2678135853095
"10","member","Thursday",14.8986490747266
"11","casual","Friday",41.8626765863657
"12","member","Friday",15.580583123215
"13","casual","Saturday",45.8669389767164
"14","member","Saturday",17.4829411787711
